id,name,email,amount,sent,date
1,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:02.372890
2,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:02.372890
3,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:02.983707
4,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:03.586398
5,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:04.142808
6,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:04.660512
7,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:05.133417
8,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:05.573055
9,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:06.380354
10,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:06.987360
11,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:07.445233
12,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:07.903591
13,Justin,testmail@testmail.com,3666,,2020-05-25 17:38:57.263150
14,Justin,testmail@testmail.com,3666,,2020-05-25 17:39:23.550321
15,Justin,testmail@testmail.com,3666,,2020-05-25 17:39:57.115979
16,Justin,testmail@testmail.com,3666,,2020-05-25 17:40:21.815789
17,Justin,testmail@testmail.com,3666,,2020-05-25 17:41:58.339179

